Brix,FS,AFW,JU,FC,RFW,RT,DP,SL,ER,HR,MALO
10.119038,75.4232,223.2844,54.447,1.73835532,3.336297,6.479069,993.7761923,0.717341247,366.0091861,0,0.00004546541403
10.379085,78.93589,290.722,43.31379,0.71158305,3.874838,6.665414,1128.754351,0.735776046,390.4246753,0,0.00004546541403
10.621006,80.75537,252.2192,48.73653,3.60861964,4.286345,6.733024,914.5532126,0.752925889,419.0074374,0,0.00004546541403
9.226898,75.84841,269.1264,56.69555,2.60933458,4.080253,7.087437,1177.773906,0.654097209,341.96728,0,0.00004546541403
10.851235,75.54107,238.3954,44.53179,0.52772147,2.91518,5.993235,1056.07204,0.769246883,404.0606426,0,0.00004546541403
9.883924,74.34677,235.3391,46.99924,2.06069069,3.790796,5.586557,1093.585749,0.700673954,648.7282443,0,0.00004546541403
10.22367,82.38412,292.484,50.76831,2.60342267,4.849185,7.212904,998.8876921,0.724758636,385.5701397,0,0.00004546541403
10.859857,67.70575,173.6481,54.12908,1.91954178,3.806209,6.501631,1068.411233,0.769858099,413.2289837,0,0.00004546541403
9.445867,79.11803,270.9279,46.87974,2.05737167,3.057027,4.957397,1044.653841,0.669619979,748.6921357,0,0.00004546541403
11.339923,85.74966,292.8395,46.94514,2.11724546,4.96858,8.106305,886.9058228,0.803890103,278.3098405,0,0.00004546541403
9.237324,72.79499,248.6161,46.94472,1.51305772,2.921892,4.943765,1230.750007,0.654836311,721.5323365,0,0.00004546541403
12.152116,77.28674,195.5332,56.49721,1.53794086,5.70005,8.922581,808.8176331,0.861466677,239.4265256,0,0.00004546541403
8.441147,76.66365,299.1962,42.51483,3.21630564,2.256822,5.366103,1268.03916,0.598395115,435.7981567,0,0.00004546541403
10.201951,77.43502,233.1655,48.73474,1.00364946,2.374493,6.314768,958.9525452,0.723218971,281.36093,0,0.00004546541403
9.295281,77.64254,257.7732,49.8084,2.18221487,4.975457,8.128194,1051.680035,0.658944898,276.4495524,0,0.00004546541403
10.547072,76.87252,261.3413,49.80992,2.95565811,3.093831,4.088863,1098.600424,0.747684689,1350.373803,0,0.00004546541403
11.236738,72.79719,205.2124,51.09151,0.97559431,4.14716,7.687644,1015.792079,0.796575291,272.3554658,0,0.00004546541403
9.340213,80.8076,307.5911,43.18801,3.50189885,4.513202,6.021423,1113.171836,0.662130139,616.8114916,0,0.00004546541403
9.283357,91.16709,295.1851,58.14511,2.9021356,4.795408,8.145354,743.9182684,0.658099602,264.7651184,0,0.00004546541403
8.957101,69.45166,208.5955,44.98128,2.8683899,2.897869,6.651297,1189.055465,0.634971229,293.8494095,0,0.00004546541403
12.357414,76.15405,254.1738,42.43638,0.2755603,4.475396,5.818568,1098.997836,0.876020306,677.8728228,0,0.00004546541403
11.146056,66.03975,223.7631,52.75354,1.8394462,3.402676,6.365941,1483.601549,0.790146821,393.5481416,0,0.00004546541403
10.989699,91.58861,297.9212,47.15864,1.5831201,5.128283,7.581793,740.4949044,0.779062632,351.0923041,0,0.00004546541403
9.778158,69.03285,222.6308,52.29223,2.9132933,3.384289,5.025813,1292.298696,0.693176174,795.4512377,0,0.00004546541403
9.427901,82.2158,246.8261,45.35581,1.7629317,3.065258,7.045012,848.1453584,0.668346364,261.5693895,0,0.00004546541403
9.556743,77.83506,267.7911,55.03287,2.5587207,4.524761,6.613112,1084.464688,0.677480007,466.8131766,0,0.00004546541403
11.971035,72.2465,208.7234,47.0106,1.2567422,3.829829,6.802649,1056.977574,0.848629798,363.0030634,0,0.00004546541403
9.693337,77.61561,253.2663,48.0855,1.5180513,4.109057,6.399213,1034.368414,0.687163192,467.8725471,0,0.00004546541403
11.189185,80.44006,262.735,51.95674,2.0356884,3.877983,7.25345,963.930768,0.793204247,303.2055395,0,0.00004546541403
9.879408,75.97017,269.5964,41.24038,3.1614324,4.384963,5.283528,1174.166982,0.700353813,887.0722406,0,0.00004546541403
9.631941,83.25944,246.8817,53.35137,2.1801781,3.440999,7.780397,816.8334467,0.682810813,217.9939139,0,0.00004546541403
9.10063,72.34524,289.9835,45.61688,2.1447572,2.924466,5.78573,1462.475071,0.645146037,450.5439725,0,0.00004546541403
11.362847,76.1382,226.5716,51.48259,1.4557224,4.311269,6.107996,980.2632589,0.805515191,564.5130487,0,0.00004546541403
9.931139,75.71541,236.608,52.37972,2.0055856,3.426054,6.050098,1040.930321,0.704021037,461.6066654,0,0.00004546541403
10.99564,78.06541,250.3563,47.03644,1.778523,4.651419,7.670161,1004.911137,0.779483791,307.5651455,0,0.00004546541403
9.689841,80.37567,242.222,54.00586,2.3793811,3.986247,6.454714,890.8094939,0.686915359,442.2810063,0,0.00004546541403
11.780986,74.63411,297.2176,38.5428,1.3748771,4.153248,5.478101,1365.235328,0.835157174,753.8116672,0,0.00004546541403
10.11756,73.04547,162.1012,57.15726,3.4967209,4.063612,6.592293,794.2394158,0.717236471,423.2216,0,0.00004546541403
10.398315,78.81283,273.7138,45.2823,0.1171129,3.83503,7.656091,1067.704312,0.737139266,254.9838069,0,0.00004546541403
7.965257,81.45882,290.1369,46.31167,4.2573301,2.436273,5.513536,1025.023193,0.564659149,433.710967,0,0.00004546541403
11.942911,67.73043,207.1127,58.25974,1.0289371,4.453386,6.395484,1272.91763,0.84663608,507.9666322,0,0.00004546541403
10.516895,82.17563,327.4157,39.15034,1.7152496,4.601666,7.388963,1126.718547,0.745545433,340.3531023,0,0.00004546541403
10.823173,75.1436,177.4721,45.55069,1.6771823,3.053358,6.396728,798.7284711,0.767257561,348.0720657,0,0.00004546541403
9.780314,83.85325,331.4118,58.65518,2.1515702,4.623381,7.276815,1073.379602,0.693329014,358.0146331,0,0.00004546541403
11.050462,65.96944,157.7987,44.28078,1.1826521,2.929817,5.824198,1049.591001,0.783370137,442.4836192,0,0.00004546541403
11.062004,85.05778,286.7825,46.62064,2.1956471,4.340668,6.564518,889.9294637,0.784188353,457.8393695,0,0.00004546541403
8.550822,78.70521,306.2228,50.16362,2.5828717,3.416317,6.488687,1199.422376,0.606170005,373.1236542,0,0.00004546541403
10.401512,74.72243,183.895,54.28326,1.6943796,4.093938,5.775209,841.7091151,0.737365902,634.1664176,0,0.00004546541403
10.794965,66.75877,208.7772,50.34058,1.9054386,3.088555,5.441937,1339.994943,0.765257888,571.8207436,0,0.00004546541403
10.015248,84.76901,294.1457,47.939,2.6932037,4.38524,7.846628,922.1386819,0.709983546,270.8377964,0,0.00004546541403
10.951443,80.79934,263.005,42.73744,0.3382028,4.399474,8.044326,952.1067294,0.776350654,252.1720009,0,0.00004546541403
9.774677,72.66363,225.349,51.09431,3.4119254,3.127367,5.238459,1121.629532,0.692929405,649.1324163,0,0.00004546541403
9.442924,80.07613,281.0922,54.69262,2.68397,4.449642,7.145852,1045.405153,0.669411349,363.8548055,0,0.00004546541403
10.738109,73.66866,227.6849,40.28591,1.2735889,3.529623,6.433572,1087.504313,0.761227351,395.4912865,0,0.00004546541403
9.491346,74.2516,207.8442,53.20319,2.5016118,3.311837,6.130719,969.539551,0.672843997,428.8444729,0,0.00004546541403
11.662971,80.43972,303.4978,49.66892,0.6696513,4.03297,6.892822,1113.496782,0.82679106,367.4505458,0,0.00004546541403
9.958876,73.2147,224.6045,56.04283,2.8321551,3.353262,5.601214,1092.870395,0.705987321,569.3588639,0,0.00004546541403
8.967977,81.03159,259.9067,41.30769,3.212595,4.316714,6.627908,932.8234661,0.635742232,442.3733513,0,0.00004546541403
12.802859,74.31376,215.1144,49.73672,0.7531448,4.849236,6.956222,1000.937238,0.907598018,429.8511724,0,0.00004546541403
8.1691,76.99594,298.6739,51.86777,4.037699,3.313188,4.981313,1249.507497,0.579109632,799.796835,0,0.00004546541403
10.680923,84.32821,259.5919,45.3955,0.3334847,3.188204,8.244709,826.6421792,0.757173421,169.7403929,0,0.00004546541403
10.072244,73.00708,238.1086,50.08341,2.4477556,4.783132,6.70796,1168.490579,0.714024008,472.8311383,0,0.00004546541403
12.070104,74.11304,199.9234,51.70992,0.939154,4.602529,5.835599,937.8314995,0.855652825,691.0433718,0,0.00004546541403
7.013797,85.87518,361.6503,47.67393,3.756133,2.720578,7.259624,1090.513178,0.497209901,212.1699599,0,0.00004546541403
12.74359,75.60497,184.1226,49.87531,0.9234015,4.199215,6.62062,813.581627,0.903396423,431.7548471,0,0.00004546541403
8.437263,78.53839,262.524,50.77148,2.7313049,3.592525,6.162689,1034.82783,0.598119778,457.9880431,0,0.00004546541403
12.073118,64.58796,188.9659,46.26253,1.4984038,3.891539,5.372111,1339.287474,0.855866488,748.9478012,0,0.00004546541403
9.529944,87.44617,356.3241,50.23104,2.3431296,4.864237,7.578051,1017.57842,0.675580219,333.5087644,0,0.00004546541403
8.900364,72.35032,218.3849,51.02059,2.885689,3.234818,6.011667,1101.149553,0.630949128,444.2528256,0,0.00004546541403
9.146987,79.25631,249.358,49.80244,2.8687905,3.044037,6.147914,956.4600385,0.648432297,390.8693993,0,0.00004546541403
13.411146,69.98061,154.8115,47.63222,-0.3668237,4.315102,7.175367,862.6112483,0.950719642,348.5168699,0,0.00004546541403
10.428747,84.56938,336.3732,42.88923,1.3289524,4.669925,7.131934,1062.006113,0.739296598,384.1077368,0,0.00004546541403
9.827115,72.111,231.7621,52.95064,3.1397143,2.894399,5.880533,1180.274251,0.696646749,424.6913552,0,0.00004546541403
8.470618,77.92549,266.3433,46.86466,2.2318209,3.857518,5.785752,1074.85089,0.600484322,594.2834207,0,0.00004546541403
13.122281,77.2378,228.2389,49.29605,0.6714192,4.554166,6.72966,945.8996179,0.930241927,445.8559668,0,0.00004546541403
6.697537,80.41572,295.5892,51.55188,3.8816637,2.753044,6.047045,1085.452361,0.474790147,371.4912994,0,0.00004546541403
12.655837,74.27862,229.9447,55.86062,1.2887104,4.668499,6.968269,1071.462545,0.89717559,411.6874641,0,0.00004546541403
9.853036,77.17568,253.7046,42.13562,2.56982451,3.308542,6.789275,1053.979144,0.698484295,315.4507377,0,0.00004546541403
8.839264,79.4251,303.2126,50.4564,2.44063566,4.370834,6.710755,1155.630521,0.626617733,431.5342371,0,0.00004546541403
12.32266,65.66042,123.1892,43.45965,0.67592407,3.691674,6.001017,831.010929,0.873556586,509.6991008,0,0.00004546541403
7.228818,84.72717,314.0538,48.68984,3.85878545,2.378095,5.730906,986.0093209,0.512452796,376.9853212,0,0.00004546541403
11.385635,77.17493,261.0163,54.40808,1.44285559,4.939724,7.159286,1084.38616,0.807130639,401.6600553,0,0.00004546541403
10.438438,80.63381,277.9594,47.3462,2.21612738,4.383348,6.885274,1012.453048,0.739983596,400.6889481,0,0.00004546541403
10.990061,76.52098,225.0275,50.50141,2.00174547,3.979963,5.750314,959.0452415,0.779088295,624.5532166,0,0.00004546541403
9.415804,82.58407,294.2275,49.50841,1.09272756,4.311097,7.543556,997.5610507,0.667488805,299.6570738,0,0.00004546541403
9.994584,68.65904,213.6801,54.01104,3.63991953,3.104091,4.701261,1260.712235,0.70851867,891.3667965,0,0.00004546541403
10.989168,81.43739,274.7796,41.97487,0.67092209,4.678414,7.828134,971.5340302,0.77902499,290.9973223,0,0.00004546541403
9.991753,71.95325,212.6622,52.06026,3.26904069,3.518305,6.499113,1090.144648,0.70831798,382.416231,0,0.00004546541403
8.916053,80.72643,294.6818,51.26411,1.83747308,2.982596,5.353201,1069.673269,0.632061326,580.1213855,0,0.00004546541403
12.924488,79.06695,245.9632,45.42774,0.60670437,4.960774,8.306498,950.2332995,0.91622033,258.2620793,0,0.00004546541403
8.879678,75.71994,219.2052,52.0246,3.60419726,3.23988,6.395536,964.1955849,0.629482692,369.5414657,0,0.00004546541403
12.9868,74.2268,245.2379,44.65871,-0.95049958,5.134243,6.591723,1145.118535,0.920637644,534.8656017,0,0.00004546541403
6.291863,84.05493,290.2635,52.0197,4.79667496,2.480485,5.98769,933.3572922,0.446031811,344.7654823,0,0.00004546541403
12.418274,69.08086,248.9363,39.75374,0.47491503,3.78492,6.254694,1441.982844,0.880334687,461.5338915,0,0.00004546541403
6.416064,81.38953,283.9053,55.2616,5.49311425,3.011101,5.105465,1005.571482,0.454836453,675.1254954,0,0.00004546541403
12.844567,77.43833,196.2977,55.73567,0.28269603,5.044559,8.405938,807.2208017,0.910554709,253.4135041,0,0.00004546541403
8.491841,77.97154,254.2394,47.26652,3.2226057,2.911845,5.050635,1024.187777,0.601988826,674.3655824,0,0.00004546541403
10.91785,74.63266,263.9614,44.92145,0.67295427,3.899889,7.846763,1212.547417,0.773969238,240.8494923,0,0.00004546541403
10.627869,75.79884,247.3245,48.60007,2.90306131,4.239409,6.037466,1084.487452,0.753412409,574.786182,0,0.00004546541403
12.253244,77.40437,223.5183,46.5415,0.55970423,4.670069,6.642841,920.3684329,0.868635667,475.3645819,0,0.00004546541403
9.91437,78.10212,234.4422,53.08266,2.11052007,3.725587,6.857636,939.7068449,0.702832279,344.6962173,0,0.00004546541403
10.126347,73.3163,231.1307,48.71781,2.28036108,3.767526,5.745451,1119.956321,0.717859383,592.7191765,0,0.00004546541403
10.128793,75.84401,260.2891,48.80641,2.12744323,3.783237,6.455176,1139.297622,0.718032781,419.6665752,0,0.00004546541403
9.206028,82.42796,319.8768,52.24058,2.49343653,3.994304,6.036844,1090.697097,0.652617729,541.7218478,0,0.00004546541403
10.697616,71.99668,202.3057,47.64695,1.26524571,2.513694,6.804366,1035.179775,0.758356792,238.0753912,0,0.00004546541403
9.26826,79.59,291.2296,50.27839,3.07372283,4.754577,7.126619,1103.07507,0.657029372,391.9461084,0,0.00004546541403
11.740885,75.65127,216.2307,49.77529,1.82396127,4.835607,6.721557,953.70433,0.832314404,475.123417,0,0.00004546541403
8.464224,82.41319,270.9716,45.38977,2.0050439,2.87899,5.896537,924.4398763,0.60003105,419.0001399,0,0.00004546541403
12.377827,72.76833,243.8597,51.21324,1.60992843,4.261376,7.547672,1208.531238,0.877467389,295.71673,0,0.00004546541403
9.617088,74.53256,249.5045,46.00855,1.61583196,2.945905,5.383088,1150.761536,0.68175788,563.494128,0,0.00004546541403
9.953192,80.56663,242.8897,42.6615,2.44324361,4.928969,6.924761,886.9284256,0.70558438,442.9011582,0,0.00004546541403
9.570125,72.36616,249.4282,54.08815,2.8184441,3.097841,5.677091,1256.851704,0.678428661,505.1805854,0,0.00004546541403
10.368404,75.79866,242.6906,51.42764,1.32648405,3.990619,6.586805,1064.175953,0.735018867,416.6591679,0,0.00004546541403
11.465913,73.52834,180.4188,49.26694,1.71478405,3.972926,6.859376,866.6875854,0.812821567,367.3006889,0,0.00004546541403
9.432285,83.00635,316.6594,50.1412,2.63804815,4.374379,6.495057,1057.312831,0.668657147,476.357057,0,0.00004546541403
9.731298,79.80139,300.2869,46.82198,2.28636052,3.116494,6.065611,1128.366251,0.689854257,416.6848656,0,0.00004546541403
11.482438,69.964,134.6967,51.43048,1.04004873,4.491682,6.91347,751.0660516,0.813993029,405.5887026,0,0.00004546541403
7.926691,85.06119,346.4055,52.88692,3.28667474,3.37441,6.510932,1074.819374,0.561925195,364.7820556,0,0.00004546541403
10.902597,73.19011,252.5811,42.67159,1.14489225,3.231685,5.710066,1230.236818,0.772887949,517.9296024,24,0.76145981257999
9.356408,80.69918,263.6457,52.85815,2.17947913,3.993276,7.782962,957.9843113,0.663278207,252.7316854,24,0.84872507359881
9.268335,73.9263,243.2869,44.84854,3.3226613,3.139139,5.231827,1149.918029,0.657034689,654.0568792,24,0.79225133491488
9.889571,76.91058,217.0129,53.24134,1.85855228,4.121764,6.798309,910.9034791,0.701074271,391.4222563,24,1.01516421468265
8.917613,84.60032,339.4082,47.83689,3.08900395,4.43813,5.701209,1070.41302,0.632171915,714.6020024,24,0.57404461400721
13.696147,72.54171,184.519,48.64974,-0.56806648,3.582606,8.189122,923.0448328,0.970923438,194.648975,24,1.28008161974819
8.172451,83.21946,354.7923,50.34137,3.58115464,4.198941,6.272406,1175.559391,0.579347186,507.694412,24,0.54490022111599
9.99368,76.21337,245.3113,51.46471,1.56309797,3.860338,6.480183,1058.203337,0.708454585,423.2808456,24,0.84698557842361
10.816973,77.34721,199.9755,44.90424,2.00170428,4.02141,6.06748,825.2545026,0.766818041,537.1782114,24,1.09232352252240
9.720153,77.95871,290.8253,52.10092,2.13140481,3.123975,6.80444,1172.150351,0.689064185,295.866285,24,0.69293129412268
9.50554,76.70939,271.3277,48.51938,2.95526384,4.473912,5.755833,1147.872405,0.673850213,700.0482572,24,0.72009315893919
11.834952,79.69936,268.1574,46.14348,2.23892887,3.951211,7.801322,1011.510404,0.838982838,248.3079969,24,0.82230717166866
8.707671,73.53798,215.5215,48.07567,2.32202781,3.426291,5.592355,1034.905231,0.617289071,584.5277636,24,0.94222857399341
11.320884,77.26409,243.8515,48.2517,0.93784777,4.530052,7.773348,1009.572284,0.802540423,287.7689622,24,0.91101718949368
9.025747,74.61023,220.5012,50.64695,1.85217761,3.147395,5.4518,1013.820084,0.639837562,579.5575934,24,0.91794372649207
12.333643,78.26979,268.3132,51.77311,2.12188436,4.984141,7.024661,1068.574,0.874335173,429.0217436,24,0.78437068281328
9.890067,81.02463,265.2887,42.65312,2.35174811,3.293402,7.127462,952.3852304,0.701109433,271.3970414,24,0.82116498205498
8.922911,74.68227,248.1923,53.85514,2.46322269,3.771284,6.055823,1137.839073,0.632547491,506.6812287,24,0.80558703972995
12.161829,72.35692,206.6807,48.40977,0.75722439,3.276561,6.547722,1041.848995,0.862155234,348.2672665,24,1.02651424193473
